#margin  /ˈmɑːdʒɪn/> n.边缘，范围；极限；利润，盈余；（版心外）的空白
marksman  /ˈmɑːksmən/> n.神枪手；〈美〉二等射手，轻兵器射手的最低等级；
marker  /ˈmɑːkə/> n.标识，标记；记号笔，阅卷人；防守队员；特征
marmalade  /ˈmɑːməleɪd/> n.果子酱，果酱；
mare  /ˈmɑːri | ˈmɑːreɪ | mɛː/> n.母马，母驴；月球表面阴暗部；〈外〉海；骒马
#abnormality  /abnəˈmalɪti | abnɔːˈmalɪti/> n.反常；变态；畸形；不合常规的现象或事件
aphrodisiac  /ˌafrəˈdɪzɪak/> n.壮阳剂，春药；
affability  /ˌafəˈbɪlɪti/> n.和蔼，亲切；
acclamation  /ˌakləˈmeɪʃ(ə)n/> n.喝彩；欢呼；欢迎；拥护
actinotherapy  /ˌaktɪnə(ʊ)ˈθɛrəpi/> n.射线疗法；
#aquamarine  /ˌakwəməˈriːn/> n.海蓝宝石；碧绿色；蓝晶；
#acquisition  /ˌakwɪˈzɪʃ(ə)n/> n.获得；购置物；获得物；收购
#alveolar  /ˌalvɪˈəʊlə | alˈvɪələ/> n.齿槽音；
alimentation  /ˌalɪm(ə)nˈteɪʃ(ə)n/> n.营养；
ambuscade  /ˌambəˈskeɪd/> n.埋伏，埋伏处；
analgesia  /ˌan(ə)lˈdʒiːzɪə/> n.无痛觉，痛觉缺失；
angiotensin  /ˌandʒɪə(ʊ)ˈtɛnsɪn/> n.血管紧缩素；
antiquarian  /ˌantɪˈkwɛːrɪən/> n.古文物研究者，收集古文物者；
antecedent  /ˌantɪˈsiːd(ə)nt/> n.经历；（比例）前项；前件；祖先
abettal  /əˈbɛt(ə)l/> n.教唆；煽动；帮助；支持
adroitness  /əˈdrɔɪtnɪs/> n.熟练；
ado  /əˈduː/> n.无谓的忙乱；毫不耽搁地；干脆地；立即
#addendum  /əˈdɛndəm/> n.附加物；补遗；附录；（齿轮的）齿顶（高）
penance  /ˈpɛnəns/> n.（赎罪的）苦行，苦修；
penitence  /ˈpɛnɪt(ə)ns/> n.忏悔，赎罪；悔过；
penitent  /ˈpɛnɪt(ə)nt/> n.后悔者；忏悔者；
#pepper  /ˈpɛpə/> n.胡椒；辣椒；胡椒粉；
expedient  /ɪkˈspiːdɪənt | ɛkˈspiːdɪənt/> n.应急办法，权宜之计；
#explosion  /ɪkˈspləʊʒ(ə)n | ɛkˈspləʊʒ(ə)n/> n.爆炸，炸裂；爆发；扩张，激增；（感情，尤指愤怒的）突然爆发
expenditure  /ɪkˈspɛndɪtʃə | ɛkˈspɛndɪtʃə/> n.花费，支出；费用，经费；（尤指金钱的）支出额；（精力、时间、材料等的）耗费
expiry  /ɪkˈspʌɪri | ɛkˈspʌɪri/> n.终止，满期，届期；
extraction  /ɪkˈstrakʃ(ə)n | ɛkˈstrakʃ(ə)n/> n.取出，抽出；血统，家世，出身；[化]提取（法），萃取（法），回收物，提出物，精炼；[数]开方，求根
extrusion  /ɪkˈstruːʒ(ə)n | ɛkˈstruːʒ(ə)n/> n.挤出；推出；喷出；赶出
extremity  /ɪkˈstrɛmɪti | ɛkˈstrɛmɪti/> n.端点；尽头；手和足；极窘迫的境地
excerpt  /ɪkˈsəːpt | ˈɛksəːpt/> n.摘录；引用；摘要；节录
eccentric  /ɪkˈsɛntrɪk | ɛkˈsɛntrɪk/> n.古怪的人；[物]偏心轮；
excision  /ɪkˈsɪʒ(ə)n | ɛkˈsɪʒ(ə)n/> n.切除，删除；切除术；切割；分割
excitant  /ɪkˈsʌɪt(ə)nt | ˈɛksɪt(ə)nt/> n.兴奋剂，刺激物；
excitement  /ɪkˈsʌɪtmənt/> n.兴奋，激动；令人兴奋的事；刺激，振奋；
extermination  /ɪkˌstəːmɪˈneɪʃ(ə)n | ɛkˌstəːmɪˈneɪʃ(ə)n/> n.消灭，根绝；
elaboration  /ɪlab(ə)ˈreɪʃ(ə)n/> n.精心制作（或计划）；精致；详尽（阐述）；精心完成的东西
elimination  /ɪlɪmɪˈneɪʃ(ə)n/> n.排除；除去；根除；淘汰
imbibition  /ɪmbɪˈbɪʃ(ə)n/> n.吸入，吸取；吸液；
imp  /ɪmp/> n.（故事中的）小恶魔；小魔鬼；小淘气；顽童
implementation  /ɪmplɪmɛnˈteɪʃ(ə)n/> n.成就；贯彻；implement的变形；安装启用
implication  /ɪmplɪˈkeɪʃ(ə)n/> n.含义；含蓄，含意，言外之意；卷入，牵连，牵涉，纠缠；[逻辑学]蕴涵，蕴含
imprecation  /ɪmprɪˈkeɪʃ(ə)n/> n.诅咒；
impartiality  /ɪmpɑːʃɪˈalɪti/> n.公平，公正，不偏不倚；
importation  /ɪmpɔːˈteɪʃ(ə)n/> n.进口；输入；进口货；输入物
#imperfection  /ɪmpəˈfɛkʃ(ə)n/> n.不完美；缺点，瑕疵；
